StepDistance(m),CumulativeDistance(km),Slope (deg),Lattitude,Longitude
9.0115526383601,0.0090115526383601,-0.9999872283336289,-12.4604525000032,130.8430664999935
9.011552637544897,0.0180231052759049,-1.05151042389053,-12.4605095000032,130.8431254999935
9.600827879660748,0.0276239331555657,-0.1495679046945946,-12.460507218802999,130.8431860001105
9.600827881177848,0.0372247610367435,-0.2461941893976353,-12.46044565640195,130.8432480003165
9.60082788357178,0.0468255889203153,-0.3428190736486867,-12.46038409398675,130.84331000049298
9.60082787977056,0.0564264168000859,-0.4394306261866512,-12.4603225315574,130.8433720006405
9.600827881648703,0.0660272446817346,-0.5360510613630718,-12.46026096911395,130.84343400075852
9.600827881836215,0.0756280725635708,-0.6326684478237773,-12.46019940665635,130.8434960008465
9.60082788008094,0.0852289004436517,-0.7292708555108941,-12.460137844184601,130.843558000905
9.600827882194046,0.0948297283258458,-0.8258804969680091,-12.46007628169875,130.8436200009345
